Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
ACEGUA,1,0,0,0,0,0,0,0,0,2,2,0
AGUA SANTA,0,0,1,1,0,1,0,0,0,0,0,0
AGUDO,0,10,2,1,4,2,4,3,3,4,4,5
AJURICABA,0,1,2,3,0,0,0,2,1,1,0,0
ALECRIM,3,0,0,1,1,3,0,0,1,1,1,0
ALEGRETE,19,8,9,10,9,7,8,13,8,10,6,14
ALEGRIA,0,0,0,0,0,0,0,0,0,1,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
ALPESTRE,0,0,0,0,1,0,2,0,1,0,0,0
ALTO ALEGRE,0,0,0,1,0,0,0,0,0,0,1,0
ALTO FELIZ,0,1,0,0,0,0,0,0,0,0,1,0
ALVORADA,53,45,35,26,38,41,38,23,24,31,32,50
AMARAL FERRADOR,2,0,0,0,1,0,1,0,0,0,0,0
AMETISTA DO SUL,2,0,1,2,0,2,1,1,1,0,1,3
ANDRE DA ROCHA,2,0,0,0,0,0,0,0,0,0,0,0
ANTA GORDA,1,1,0,2,1,0,1,0,0,0,0,0
ANTONIO PRADO,0,0,0,0,2,0,0,1,0,0,0,0
ARAMBARE,1,2,1,1,0,0,0,0,1,0,2,2
ARARICA,0,2,1,0,3,0,2,1,0,1,2,0
ARATIBA,0,0,3,0,0,1,1,0,0,0,1,0
ARROIO DO MEIO,0,1,2,1,1,1,0,0,1,1,1,0
ARROIO DO PADRE,0,1,1,0,1,0,0,1,0,0,0,0
ARROIO DO SAL,8,4,1,3,2,3,2,2,2,5,3,1
ARROIO DO TIGRE,4,3,2,1,3,1,1,1,1,3,1,1
ARROIO DOS RATOS,4,3,1,1,0,2,1,2,0,1,1,0
ARROIO GRANDE,3,2,0,1,2,2,1,0,3,3,1,2
ARVOREZINHA,1,0,2,0,0,0,1,6,0,1,5,2
AUGUSTO PESTANA,2,0,0,0,2,0,1,0,3,0,1,2
AUREA,1,0,0,1,1,0,0,0,0,2,1,0
BAGE,19,20,24,13,9,12,13,20,15,23,29,18
