Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
ACEGUA,0,1,2,0,0,1,0,0,1,0,0,1
AGUA SANTA,2,1,2,1,0,1,1,0,0,0,0,0
AGUDO,9,5,4,3,5,1,3,2,4,7,5,5
AJURICABA,3,1,5,4,1,2,3,0,2,2,2,2
ALECRIM,2,3,1,2,3,0,3,5,1,3,2,4
ALEGRETE,19,23,11,15,18,7,27,17,24,16,11,16
ALEGRIA,0,0,2,1,1,5,2,0,0,1,1,2
ALMIRANTE TAMANDARE DO SUL,0,1,0,1,0,2,0,0,0,0,0,0
ALPESTRE,8,0,0,1,3,0,2,1,0,1,2,7
ALTO ALEGRE,0,0,0,0,0,0,1,0,0,0,0,0
ALTO FELIZ,0,0,0,0,0,0,0,0,0,0,0,1
ALVORADA,77,70,70,72,59,48,65,53,57,69,45,61
AMARAL FERRADOR,2,1,1,4,0,0,0,0,3,1,2,2
AMETISTA DO SUL,6,4,3,3,2,1,4,5,4,1,4,2
ANDRE DA ROCHA,0,0,0,0,0,0,0,0,0,0,0,0
ANTA GORDA,1,1,2,0,1,0,0,1,0,0,1,4
ANTONIO PRADO,1,0,0,1,1,1,3,0,1,1,3,2
ARAMBARE,2,0,0,0,2,0,0,2,1,1,1,1
ARARICA,4,2,0,2,1,0,0,1,3,3,2,3
ARATIBA,0,2,1,1,3,0,2,4,3,2,2,3
ARROIO DO MEIO,7,8,3,3,4,4,2,4,3,8,7,5
ARROIO DO PADRE,0,0,0,0,0,1,1,0,0,0,0,1
ARROIO DO SAL,7,5,1,4,0,1,5,5,6,0,1,6
ARROIO DO TIGRE,7,6,9,3,1,3,6,2,3,4,8,6
ARROIO DOS RATOS,1,4,1,1,1,0,3,4,1,4,3,1
ARROIO GRANDE,0,4,4,4,3,2,5,0,2,7,2,3
ARVOREZINHA,3,3,1,3,2,5,2,6,4,2,6,2
AUGUSTO PESTANA,2,1,0,0,1,2,3,1,0,0,0,0
AUREA,0,0,1,4,0,1,0,1,1,0,1,0
BAGE,47,21,32,28,29,22,31,24,37,26,27,28
BALNEARIO PINHAL,9,11,4,2,3,3,2,5,3,2,2,7
BARAO,0,1,2,0,1,3,1,4,0,2,3,1
BARAO DO COTEGIPE,3,3,2,4,1,4,1,5,3,4,2,4
BARAO DO TRIUNFO,0,1,1,0,0,3,3,1,0,0,0,2
BARRA DO GUARITA,3,2,2,2,3,0,2,4,2,0,0,2
BARRA DO QUARAI,1,0,0,0,0,0,1,1,1,2,2,0
BARRA DO RIBEIRO,3,2,2,0,2,3,2,3,2,3,4,1
BARRA DO RIO AZUL,0,0,0,0,0,0,1,0,0,0,0,0
BARRA FUNDA,0,0,0,0,0,0,0,0,0,1,0,0
BARRACAO,0,3,0,3,1,1,1,0,1,1,0,2
BARROS CASSAL,1,0,4,4,1,5,3,2,2,4,5,3
BENJAMIN CONSTANT DO SUL,0,0,0,0,0,0,0,0,0,0,1,0
BENTO GONCALVES,33,29,35,34,19,40,40,32,22,46,32,39
BOA VISTA DAS MISSOES,0,2,4,3,1,1,2,0,0,0,1,1
BOA VISTA DO BURICA,2,2,2,1,0,1,2,4,3,0,1,1
BOA VISTA DO CADEADO,2,0,0,0,0,0,0,0,1,0,0,0
BOA VISTA DO INCRA,0,1,1,0,0,1,0,1,1,0,0,0
BOA VISTA DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
BOM JESUS,2,3,7,1,3,1,3,4,4,0,2,2
BOM PRINCIPIO,5,8,4,3,2,0,2,1,1,0,0,2
BOM PROGRESSO,1,0,1,2,0,0,0,0,2,0,2,1
BOM RETIRO DO SUL,7,2,1,1,2,2,4,2,3,2,1,3
BOQUEIRAO DO LEAO,1,1,1,1,2,1,3,1,2,2,4,1
BOSSOROCA,3,2,3,0,0,0,0,2,1,4,1,0
BOZANO,0,1,0,0,0,0,1,1,0,0,2,0
BRAGA,0,0,1,0,1,0,6,1,2,0,1,0
BROCHIER,2,0,0,1,1,2,1,2,2,1,2,0
BUTIA,8,10,6,4,5,10,6,5,6,10,7,9
CACAPAVA DO SUL,15,7,11,3,6,4,7,9,4,8,13,16
CACEQUI,8,4,3,2,4,2,3,0,0,4,0,0
CACHOEIRA DO SUL,21,19,15,18,7,20,12,10,16,21,17,11
CACHOEIRINHA,34,24,28,26,23,29,31,34,26,35,31,18
CACIQUE DOBLE,2,0,2,2,2,3,2,1,0,4,0,1
CAIBATE,0,3,0,0,1,2,0,0,1,2,4,1
CAICARA,4,2,4,1,1,1,1,1,1,1,1,2
CAMAQUA,18,21,17,12,10,13,23,13,8,11,15,11
CAMARGO,0,2,1,0,0,0,1,1,1,0,1,0
CAMBARA DO SUL,0,1,1,3,7,1,3,3,1,1,4,1
CAMPESTRE DA SERRA,0,0,1,0,2,0,1,1,0,0,0,1
CAMPINA DAS MISSOES,1,1,1,2,2,2,2,4,2,0,0,0
CAMPINAS DO SUL,0,0,3,2,3,2,2,0,1,4,2,0
CAMPO BOM,15,16,13,7,22,8,10,8,10,15,19,15
CAMPO NOVO,5,0,1,1,1,1,3,2,1,1,0,1
CAMPOS BORGES,2,0,0,0,0,0,0,1,1,2,2,2
CANDELARIA,10,7,8,5,6,7,3,7,6,6,17,11
