Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
AGUA SANTA,0,1,3,0,1,2,2,3,0,0,1,
AGUDO,8,3,5,6,3,8,0,3,7,2,2,
AJURICABA,3,1,4,0,2,2,2,3,0,1,1,
ALECRIM,2,1,1,1,0,3,0,3,2,1,3,
ALEGRETE,17,18,14,19,12,16,14,11,16,13,15,
ALEGRIA,0,0,2,1,1,4,1,2,0,1,3,
ALMIRANTE TAMANDARE DO SUL,0,0,0,2,0,0,0,0,0,1,0,
ALPESTRE,1,2,0,3,1,2,1,0,2,3,2,
ALTO ALEGRE,0,0,0,0,0,0,0,0,0,0,0,
ALTO FELIZ,0,0,0,0,0,1,2,1,0,1,0,
ALVORADA,68,80,73,70,56,53,61,59,71,76,72,
AMARAL FERRADOR,0,0,3,0,0,0,1,0,0,1,1,
AMETISTA DO SUL,8,4,5,8,1,4,3,1,1,7,1,
ANDRE DA ROCHA,0,1,0,1,0,1,0,0,0,0,0,
ANTA GORDA,1,0,0,0,0,1,0,0,0,0,0,
ANTONIO PRADO,2,0,2,1,2,0,5,2,1,2,4,
ARAMBARE,4,2,0,0,1,0,1,3,0,1,2,
ARARICA,3,4,2,4,1,2,1,1,1,1,1,
ARATIBA,2,1,2,0,0,1,1,1,1,2,2,
ARROIO DO MEIO,6,2,4,2,2,0,0,1,2,4,5,
ARROIO DO PADRE,0,0,0,0,1,0,0,0,1,0,0,
ARROIO DO SAL,10,6,7,4,3,8,2,2,10,1,5,
ARROIO DO TIGRE,1,5,3,1,4,5,1,3,2,3,2,
ARROIO DOS RATOS,7,3,5,0,2,0,1,4,0,6,4,
ARROIO GRANDE,2,4,2,1,2,0,1,2,5,4,3,
ARVOREZINHA,4,1,2,1,1,0,3,4,1,2,2,
AUGUSTO PESTANA,1,1,1,0,1,1,0,0,0,0,1,
AUREA,1,1,0,1,1,3,0,0,1,0,4,
BAGE,24,23,25,30,26,32,18,22,10,27,31,
BALNEARIO PINHAL,8,6,4,4,1,5,3,2,5,2,8,
BARAO,0,1,3,2,1,1,0,1,3,0,4,
BARAO DO COTEGIPE,3,4,0,3,1,3,2,2,3,4,5,
BARAO DO TRIUNFO,2,1,0,2,0,1,0,2,1,0,2,
BARRA DO GUARITA,4,0,0,2,2,1,0,2,4,0,1,
BARRA DO QUARAI,2,0,2,1,3,0,1,0,4,0,1,
BARRA DO RIBEIRO,4,2,8,0,2,1,3,3,2,4,1,
BARRA DO RIO AZUL,0,0,0,0,0,0,0,0,0,0,0,
BARRA FUNDA,0,0,0,0,0,1,0,0,1,0,2,
BARRACAO,4,1,0,0,0,1,0,2,0,4,0,
BARROS CASSAL,5,3,8,3,4,3,2,8,2,5,1,
BENJAMIN CONSTANT DO SUL,0,0,0,0,0,0,0,0,0,0,1,
BENTO GONCALVES,30,32,40,16,19,25,25,24,27,17,30,
BOA VISTA DAS MISSOES,2,0,0,0,0,0,1,0,2,0,0,
BOA VISTA DO BURICA,1,0,2,1,1,3,1,0,2,2,2,
BOA VISTA DO CADEADO,0,0,0,1,0,0,0,0,0,0,1,
BOA VISTA DO INCRA,1,1,0,1,1,0,1,0,1,0,0,
BOA VISTA DO SUL,0,0,0,0,0,0,0,0,1,0,0,
BOM JESUS,9,4,3,2,1,2,2,3,2,0,5,
BOM PRINCIPIO,1,1,2,3,1,2,2,7,1,4,4,
BOM PROGRESSO,1,0,0,1,1,0,5,0,0,0,1,
BOM RETIRO DO SUL,5,10,1,3,0,3,5,1,2,3,2,
BOQUEIRAO DO LEAO,0,3,1,1,0,0,1,0,1,2,2,
BOSSOROCA,1,1,3,1,1,0,1,0,2,3,0,
BOZANO,0,3,0,0,0,0,0,0,0,0,1,
BRAGA,0,0,1,3,1,1,1,4,1,1,0,
BROCHIER,3,1,1,2,3,0,1,1,0,1,0,
BUTIA,13,3,4,2,2,1,7,4,1,2,3,
CACAPAVA DO SUL,2,5,9,4,10,2,8,8,6,6,11,
CACEQUI,3,0,2,2,0,1,5,0,3,1,1,
CACHOEIRA DO SUL,18,16,20,10,13,14,10,12,10,13,14,
CACHOEIRINHA,47,34,22,37,14,25,20,27,26,19,36,
CACIQUE DOBLE,0,1,2,2,1,0,1,1,0,2,1,
CAIBATE,0,0,0,0,0,1,0,1,3,2,1,
CAICARA,3,3,2,3,3,1,0,1,3,1,0,
CAMAQUA,14,16,20,13,18,11,18,9,12,18,13,
CAMARGO,1,0,1,0,0,1,0,1,2,0,1,
CAMBARA DO SUL,0,0,1,1,1,4,0,1,2,7,0,
