Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
ACEGUA,1,1,2,0,0,1,0,1,3,1,0,0
AGUA SANTA,1,0,1,0,0,0,0,0,0,0,1,0
AGUDO,4,6,5,5,7,7,4,4,6,4,5,4
AJURICABA,1,5,3,4,3,2,2,1,0,1,1,0
ALECRIM,2,7,4,2,3,0,2,2,4,2,4,2
ALEGRETE,16,22,28,20,14,16,24,18,23,29,23,25
ALEGRIA,1,0,0,0,1,2,1,2,1,4,1,2
ALMIRANTE TAMANDARE DO SUL,0,1,0,0,0,0,0,0,2,1,0,0
ALPESTRE,1,1,2,2,5,2,3,2,1,2,2,3
ALTO ALEGRE,0,0,0,0,0,1,0,0,0,1,0,0
ALTO FELIZ,0,1,0,0,0,0,0,0,0,0,0,0
ALVORADA,85,75,72,85,66,53,49,65,68,87,73,46
AMARAL FERRADOR,0,1,0,0,0,0,0,1,1,1,0,1
AMETISTA DO SUL,6,7,3,2,2,4,1,1,4,6,2,3
ANDRE DA ROCHA,1,1,0,0,0,2,0,0,0,0,2,0
ANTA GORDA,2,1,1,1,1,1,2,1,0,0,1,0
ANTONIO PRADO,3,2,2,5,2,3,2,3,4,2,1,3
ARAMBARE,1,0,0,2,1,1,0,2,0,1,0,4
ARARICA,3,5,1,1,3,2,2,1,7,0,2,0
ARATIBA,3,0,2,1,0,1,2,0,4,1,0,0
ARROIO DO MEIO,3,8,3,3,4,6,4,2,4,2,7,3
ARROIO DO PADRE,0,0,0,0,0,0,0,0,1,0,0,0
ARROIO DO SAL,8,4,4,8,1,2,0,0,3,4,1,6
ARROIO DO TIGRE,3,2,6,6,2,1,6,1,1,5,1,1
ARROIO DOS RATOS,0,6,4,1,3,1,3,3,4,2,2,1
ARROIO GRANDE,5,4,9,3,5,4,0,7,6,5,5,1
ARVOREZINHA,1,6,7,5,2,3,0,3,2,2,3,1
AUGUSTO PESTANA,7,1,2,2,3,3,1,2,3,3,1,2
AUREA,4,1,0,2,0,2,0,2,2,1,2,1
BAGE,53,30,45,49,45,42,39,44,38,44,32,29
BALNEARIO PINHAL,5,8,4,3,8,2,3,3,1,2,5,6
BARAO,1,3,1,2,0,0,0,2,0,0,1,1
BARAO DO COTEGIPE,2,6,1,3,1,1,2,0,3,3,1,0
BARAO DO TRIUNFO,1,2,1,1,1,1,3,1,1,2,0,0
BARRA DO GUARITA,0,1,6,1,2,2,3,1,1,1,4,2
BARRA DO QUARAI,2,0,0,1,0,1,1,1,0,1,3,0
BARRA DO RIBEIRO,4,8,4,6,8,0,5,3,0,4,4,4
BARRA DO RIO AZUL,0,0,0,0,1,0,0,0,0,0,0,0
BARRA FUNDA,0,0,1,1,0,1,0,1,0,0,1,0
BARRACAO,1,3,1,2,0,1,2,2,0,0,0,1
BARROS CASSAL,5,3,3,9,5,5,2,0,5,4,4,6
BENJAMIN CONSTANT DO SUL,0,0,0,0,0,1,0,1,0,0,0,1
BENTO GONCALVES,43,37,21,33,18,35,38,30,33,42,29,32
BOA VISTA DAS MISSOES,1,0,0,0,0,1,1,0,1,0,0,1
BOA VISTA DO BURICA,3,0,2,2,1,0,2,0,1,1,1,0
BOA VISTA DO CADEADO,0,1,0,0,0,1,0,0,0,0,0,0
BOA VISTA DO INCRA,2,0,0,0,1,0,0,2,0,0,1,0
BOA VISTA DO SUL,0,0,1,1,0,1,0,0,0,0,2,1
BOM JESUS,2,1,3,7,1,1,3,3,6,4,3,1
BOM PRINCIPIO,4,5,1,3,3,1,3,2,2,4,7,3
BOM PROGRESSO,0,1,1,0,0,1,0,0,2,2,0,0
BOM RETIRO DO SUL,2,2,5,10,6,2,1,3,3,3,2,5
BOQUEIRAO DO LEAO,3,0,2,0,0,0,0,1,0,0,1,1
BOSSOROCA,0,1,2,2,1,2,2,1,1,1,1,1
BOZANO,0,0,0,0,0,0,0,0,0,0,0,1
BRAGA,3,1,2,2,1,1,3,0,2,0,2,1
BROCHIER,1,1,0,1,0,0,1,1,0,1,0,0
BUTIA,11,3,7,6,9,11,16,9,13,9,6,4
CACAPAVA DO SUL,24,8,8,10,10,6,7,6,7,14,9,8
CACEQUI,2,7,3,3,3,3,3,4,1,2,0,5
CACHOEIRA DO SUL,20,19,20,30,30,19,20,20,23,28,22,36
CACHOEIRINHA,35,36,36,38,26,33,36,31,30,33,30,27
CACIQUE DOBLE,0,0,0,1,0,0,2,2,0,0,3,2
CAIBATE,0,0,4,5,2,0,0,1,0,0,0,0
CAICARA,2,4,4,1,2,0,2,2,1,1,2,0
CAMAQUA,20,19,26,20,22,23,16,14,12,22,21,27
CAMARGO,2,1,0,0,0,1,2,1,0,2,0,1
CAMBARA DO SUL,1,0,2,2,0,2,0,3,1,2,1,1
CAMPESTRE DA SERRA,2,0,0,0,0,2,0,0,0,1,0,1
CAMPINA DAS MISSOES,1,1,2,1,1,1,0,2,3,1,1,4
CAMPINAS DO SUL,2,2,4,2,0,0,1,1,2,1,4,2
CAMPO BOM,26,13,11,21,12,7,18,9,6,5,12,12
CAMPO NOVO,3,1,0,2,3,3,7,1,2,5,5,0
CAMPOS BORGES,0,1,0,2,0,0,2,0,1,0,0,0
CANDELARIA,18,16,15,11,7,5,6,13,8,9,14,6
CANDIDO GODOI,2,0,0,1,0,0,0,0,0,2,2,0
CANDIOTA,4,3,3,2,3,1,1,1,4,2,5,2
CANELA,25,13,8,16,19,11,7,7,17,13,25,12
CANGUCU,11,8,12,7,11,2,10,10,4,5,10,4
CANOAS,112,118,100,107,89,83,99,78,82,90,115,113
CANUDOS DO VALE,0,0,1,0,0,0,0,0,0,0,0,0
CAPAO BONITO DO SUL,0,0,0,1,0,1,0,0,0,1,2,2
CAPAO DA CANOA,37,13,21,31,15,15,21,21,31,20,18,37
CAPAO DO CIPO,1,1,1,0,0,0,2,0,0,0,0,0
CAPAO DO LEAO,6,10,9,7,6,4,7,6,7,6,9,8
CAPELA DE SANTANA,3,0,2,4,3,4,1,6,5,4,0,3
CAPITAO,3,0,0,0,1,0,1,0,0,0,0,1
CAPIVARI DO SUL,0,2,0,2,1,0,1,0,0,1,0,3
