Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
AGUA SANTA,1,0,0,1,0,2,0,0,0,0,2,0
AGUDO,7,9,8,3,4,2,2,1,3,4,8,7
AJURICABA,0,1,2,0,2,1,2,3,2,1,3,0
ALECRIM,3,1,4,2,2,2,4,0,2,3,0,4
ALEGRETE,23,31,27,20,17,20,16,20,23,12,21,17
ALEGRIA,1,0,1,1,2,2,3,2,3,4,0,1
ALMIRANTE TAMANDARE DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
ALPESTRE,2,1,1,4,1,1,3,4,4,1,2,3
ALTO ALEGRE,1,0,0,1,2,0,0,0,0,2,0,0
ALTO FELIZ,1,0,0,0,0,0,2,2,0,0,0,0
ALVORADA,77,64,74,63,57,58,68,70,61,62,81,60
AMARAL FERRADOR,0,0,2,0,1,0,0,1,0,1,0,0
AMETISTA DO SUL,5,1,5,0,8,3,2,5,7,5,6,4
ANDRE DA ROCHA,0,0,1,0,0,0,0,3,0,0,1,0
ANTA GORDA,2,2,2,1,1,0,3,1,0,1,1,1
ANTONIO PRADO,1,3,3,3,1,2,2,1,2,4,3,3
ARAMBARE,2,1,1,0,0,2,0,3,2,1,0,1
ARARICA,1,3,4,4,1,0,4,4,1,1,1,0
ARATIBA,2,1,3,1,1,1,0,0,2,1,1,2
ARROIO DO MEIO,9,6,6,3,3,1,4,4,7,7,5,4
ARROIO DO PADRE,0,0,1,1,0,0,0,1,0,0,0,0
ARROIO DO SAL,10,5,9,3,4,3,1,6,3,3,1,7
ARROIO DO TIGRE,3,5,7,10,7,7,8,4,3,7,4,5
ARROIO DOS RATOS,2,5,4,1,1,2,3,0,1,6,3,1
ARROIO GRANDE,4,3,7,1,5,3,5,6,4,7,3,2
ARVOREZINHA,3,1,5,2,4,0,5,5,4,3,5,2
AUGUSTO PESTANA,1,0,1,2,0,1,1,1,0,0,0,1
AUREA,2,0,0,2,2,1,0,1,2,1,0,1
BAGE,32,37,29,20,30,23,29,35,22,27,42,40
BALNEARIO PINHAL,9,8,8,2,5,4,4,3,5,7,2,10
BARAO,1,0,0,3,0,3,2,0,0,0,1,1
BARAO DO COTEGIPE,0,3,3,3,2,4,4,5,2,0,3,4
BARAO DO TRIUNFO,3,1,0,1,1,1,0,0,0,1,1,1
BARRA DO GUARITA,2,1,3,0,0,1,0,2,0,0,4,0
BARRA DO QUARAI,3,0,1,0,1,0,2,2,0,3,1,1
BARRA DO RIBEIRO,3,2,3,4,2,1,1,3,2,1,3,3
BARRA DO RIO AZUL,0,0,0,0,0,0,0,0,0,0,0,0
